% Model,attempt7 - 45deg ate 600 nm.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 21 2025, 10:41"
% Table,Table 4 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),(ewfd.normE)^4 (kg^4*m^6/(s^12*A^4))
5.500000000000000E2,1.500000000000000E2,6.330000000000000E-1,9.465899150635570E20
5.500000000000000E2,1.750000000000000E2,6.330000000000000E-1,7.742660820043670E20
5.500000000000000E2,2.000000000000000E2,6.330000000000000E-1,2.699740349911787E20
5.500000000000000E2,2.250000000000000E2,6.330000000000000E-1,1.241602891962054E19
5.500000000000000E2,2.500000000000000E2,6.330000000000000E-1,1.585490387152801E19
5.500000000000000E2,2.750000000000000E2,6.330000000000000E-1,2.285294255487152E20
5.500000000000000E2,3.000000000000000E2,6.330000000000000E-1,6.958293307027351E20
5.500000000000000E2,3.250000000000000E2,6.330000000000000E-1,1.253168571058131E21
5.500000000000000E2,3.500000000000000E2,6.330000000000000E-1,2.100761572031311E19
5.500000000000000E2,3.749999999999999E2,6.330000000000000E-1,7.094302068945401E19
5.500000000000000E2,4.000000000000000E2,6.330000000000000E-1,3.423037181769426E20
5.500000000000000E2,4.249999999999999E2,6.330000000000000E-1,4.416940189272648E21
5.500000000000000E2,4.500000000000000E2,6.330000000000000E-1,4.607756703756989E20
5.500000000000000E2,4.749999999999999E2,6.330000000000000E-1,1.213857034333775E21
5.500000000000000E2,5.000000000000000E2,6.330000000000000E-1,2.826202682064436E21
5.500000000000000E2,5.250000000000000E2,6.330000000000000E-1,2.195817430120309E20
5.500000000000000E2,5.500000000000000E2,6.330000000000000E-1,1.673767833194871E20
5.500000000000000E2,5.749999999999999E2,6.330000000000000E-1,6.472439189560209E20
5.500000000000000E2,6.000000000000000E2,6.330000000000000E-1,4.851532309358151E21
5.500000000000000E2,6.250000000000000E2,6.330000000000000E-1,3.015168022292744E21
5.500000000000000E2,6.500000000000000E2,6.330000000000000E-1,4.850262123862870E20
5.500000000000000E2,6.749999999999999E2,6.330000000000000E-1,4.504427665226896E21
5.500000000000000E2,7.000000000000000E2,6.330000000000000E-1,7.677601028081433E18
5.749999999999999E2,0.000000000000000E0,6.330000000000000E-1,5.195746564301269E19
5.749999999999999E2,2.500000000000000E1,6.330000000000000E-1,2.742625768472692E19
5.749999999999999E2,5.000000000000000E1,6.330000000000000E-1,8.937826835516878E19
5.749999999999999E2,7.500000000000000E1,6.330000000000000E-1,7.425921092847272E20
5.749999999999999E2,1.000000000000000E2,6.330000000000000E-1,5.915402484808047E19
5.749999999999999E2,1.250000000000000E2,6.330000000000000E-1,8.232973205915925E20
5.749999999999999E2,1.500000000000000E2,6.330000000000000E-1,4.693552705473791E20
5.749999999999999E2,1.750000000000000E2,6.330000000000000E-1,1.267329814605375E20
5.749999999999999E2,2.000000000000000E2,6.330000000000000E-1,9.623809949758830E19
5.749999999999999E2,2.250000000000000E2,6.330000000000000E-1,3.994023613777175E20
5.749999999999999E2,2.500000000000000E2,6.330000000000000E-1,7.967312139927846E20
5.749999999999999E2,2.750000000000000E2,6.330000000000000E-1,9.848834773198074E20
5.749999999999999E2,3.000000000000000E2,6.330000000000000E-1,1.671402583051995E19
5.749999999999999E2,3.250000000000000E2,6.330000000000000E-1,4.372426428659126E20
5.749999999999999E2,3.500000000000000E2,6.330000000000000E-1,2.360872089557305E20
5.749999999999999E2,3.749999999999999E2,6.330000000000000E-1,3.115221307089262E20
5.749999999999999E2,4.000000000000000E2,6.330000000000000E-1,5.845138791937406E20
5.749999999999999E2,4.249999999999999E2,6.330000000000000E-1,8.304941777461825E20
